מזהה,שם המוצר,תיאור,מחיר,מחיר מקורי,קטגוריה,קישור לתמונה,קישור לסרטון,גיל,גודל,מה בקופסה,מומלץ בדף הבית,מבצע,אחוז הנחה,תגיות,במלאי,מתאים לבית ספר,מומלץ ליריד,כמות מינימום לקבוצה,כמות מקסימום לקבוצה,רמת קושי,זמן הכנה,דירוג,מספר ביקורות,כמות במלאי
kit-001,ערכת בניית בית ציפור,ערכת בנייה מעץ אמיתי — בית ציפור מעוצב שילדים יכולים לבנות ולצבוע בעצמם.,149,,ערכות בנייה בעץ,https://images.unsplash.com/photo-1513694203232-719a280e022f?w=600&h=600&fit=crop,,גילאי 8+,25×18×12 ס״מ,לוחות עץ מגולענים | ברגים | מדריך בעברית | דבק עץ | צבעים,כן,לא,,outdoor | family,כן,כן,כן,1,30,בינוני,60–90 דקות,4.8,47,
kit-002,ערכת מגדל עץ לילדים,מגדל עץ קלאסי — פעילות בנייה מהנה שמפתחת מוטוריקה ויצירתיות.,129,,ערכות בנייה בעץ,https://images.unsplash.com/photo-1587654780291-39c9404d746b?w=600&h=600&fit=crop,,גילאי 6+,30×15×15 ס״מ,חלקי עץ | מפתח ברגים | מדריך מצולם | מדבקות,כן,לא,,indoor | family,כן,כן,כן,1,35,קל,45–60 דקות,4.8,51,
kit-003,ערכת נגרות — מסגרת תמונה,בנו מסגרת תמונה מעץ אמיתי וקשטו אותה — מתנה מושלמת מהילדים.,89,,ערכות בנייה בעץ,https://images.unsplash.com/photo-1452860606245-08befbf9d051?w=600&h=600&fit=crop,,גילאי 7+,20×15 ס״מ,4 מסגרות עץ | חומרי קישוט | מדריך | דבק,לא,לא,,gift | family,כן,כן,לא,1,40,קל,30–45 דקות,4.5,39,
kit-004,ערכת בניית מכונית עץ,מכונית עץ עם גלגלים מסתובבים — פרויקט בנייה מהנה לכל המשפחה.,119,,ערכות בנייה בעץ,https://images.unsplash.com/photo-1558060379-d2065042b9cf?w=600&h=600&fit=crop,,גילאי 6+,18×8×8 ס״מ,חלקי עץ | גלגלים | צבעים | מברג | מדריך,לא,כן,15,toy | family,כן,כן,כן,1,30,קל,45 דקות,4.5,58,
kit-005,ערכת בניית ארון קטן,פרויקט בנייה מתקדם — ארון קטן לאחסון תכשיטים או צעצועים.,179,,ערכות בנייה בעץ,https://images.unsplash.com/photo-1504148455328-c376907d081c?w=600&h=600&fit=crop,,גילאי 10+,20×15×10 ס״מ,לוחות עץ | צירים | ידית | ברגים | מדריך מפורט,כן,לא,,advanced | family,כן,כן,לא,1,20,מתקדם,90–120 דקות,4.8,62,4
kit-006,ערכת יצירה — פרפרי קיץ,יצירת פרפרים צבעוניים מחומרים טבעיים — פעילות קיץ מושלמת.,69,,ערכות יצירה בקיץ,https://images.unsplash.com/photo-1503454537195-1dcabb73ffb9?w=600&h=600&fit=crop,,גילאי 5+,ערכה ל-2 ילדים,נייר צבעוני | ענפים | חרוזים | דבק | מדריך,כן,לא,,outdoor | summer,כן,כן,כן,1,40,קל,30–45 דקות,4.8,25,
kit-007,ערכת ציור על אבנים,ציירו על אבנים חלקות — פעילות חוץ מהנה לקיץ ולגן.,59,,ערכות יצירה בקיץ,https://images.unsplash.com/photo-1513364778564-2073ec304d05?w=600&h=600&fit=crop,,גילאי 4+,10 אבנים + צבעים,אבנים חלקות | 6 צבעי אקריל | מברשות | מדריך,לא,לא,,outdoor | summer,כן,כן,כן,1,35,קל,30 דקות,4.5,14,
kit-008,ערכת מדפי עץ לגינה,בנו מדף עץ קטן לשתילת עשבי תיבול — חיבור לטבע.,139,,ערכות יצירה בקיץ,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=600&h=600&fit=crop,,גילאי 8+,40×20×15 ס״מ,לוחות עץ | עציצים | אדמה | זרעים | מדריך,כן,לא,,garden | summer,כן,כן,לא,1,25,בינוני,60 דקות,4.8,32,
kit-009,ערכת יצירה — רוחות קיץ,עשו תליוני רוח מחומרים ממוחזרים — פעילות ירוקה ויצירתית.,79,,ערכות יצירה בקיץ,https://images.unsplash.com/photo-1503454537195-1dcabb73ffb9?w=600&h=600&fit=crop,,גילאי 6+,3 תליונים,חומרים ממוחזרים | חוטים | חרוזים | מדריך,לא,כן,15,eco | summer,כן,כן,כן,1,40,קל,45 דקות,4.5,36,
kit-010,ערכת קייטנת קיץ — חבילה,3 פעילויות קיץ בערכה אחת — חיסכון לקייטנה או יום כיף.,199,237,ערכות יצירה בקיץ,https://images.unsplash.com/photo-1503454537195-1dcabb73ffb9?w=600&h=600&fit=crop,,גילאי 5+,3 ערכות,פרפרי קיץ | ציור אבנים | תליוני רוח | מדריך מאוחד,כן,כן,16,bundle | summer,כן,כן,כן,1,50,קל,2–3 שעות,4.8,36,
